Event,Team,Date,Time,Location,Description
Basketball Practice,PYTHONS,12/5/2012,7:00 PM,Salem Middle School,YELLOW JACKETS / BUZZSAWS / MATADORS / PYTHONS
Basketball Practice,THUNDERBOLTS,12/6/2012,8:00 PM,Salem Middle School,THUNDERBOLTS / BISONS / TIGERS
Basketball Game,BISONS,1/19/2013,10:00 AM,Salem Middle School,BUZZSAWS VS BISONS
Basketball Practice,TIGERS,12/6/2012,8:00 PM,Salem Middle School,THUNDERBOLTS / BISONS / TIGERS
Basketball Practice,BOBCATS,12/10/2012,7:00 PM,Salem Middle School,BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,BEARS,12/10/2012,7:00 PM,Salem Middle School,BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,PRAIRIE DOGS,12/10/2012,7:00 PM,Salem Middle School,BOBCATS / BEARS / PRAIRIE DOGS
Basketball Practice,THUNDERBOLTS,12/10/2012,8:00 PM,Salem Middle School,THUNDERBOLTS / PYTHONS / BISONS
Basketball Practice,PYTHONS,12/10/2012,8:00 PM,Salem Middle School,THUNDERBOLTS / PYTHONS / BISONS
Basketball Practice,BISONS,1/24/2013,8:00 PM,Salem Middle School,VOLCANOS / BISONS / BOBCATS / BEARS
Basketball Practice,JUGGERNAUTS,12/11/2012,8:00 PM,Salem Middle School,JUGGERNAUTS / BAZOOKAS / JACKHAMMERS
Basketball Practice,BAZOOKAS,12/11/2012,8:00 PM,Salem Middle School,JUGGERNAUTS / BAZOOKAS / JACKHAMMERS
Basketball Practice,JACKHAMMERS,12/11/2012,8:00 PM,Salem Middle School,JUGGERNAUTS / BAZOOKAS / JACKHAMMERS
Basketball Practice,TIGERS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,MATADORS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,KINGS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,BUZZSAWS,12/12/2012,7:00 PM,Salem Middle School,TIGERS / MATADORS / KINGS / BUZZSAWS
Basketball Practice,ZIPS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,VOLCANOS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,YELLOW JACKETS,12/13/2012,8:00 PM,Salem Middle School,ZIPS / VOLCANOS / YELLOW JACKETS
Basketball Practice,PRAIRIE DOGS,12/15/2012,9:00 AM,Salem Middle School,PRAIRIE DOGS / BISONS
Basketball Game,BISONS,1/26/2013,11:00 AM,Salem Middle School,BISONS VS YELLOW JACKETS
Basketball Practice,BOBCATS,12/15/2012,10:00 AM,Salem Middle School,BOBCATS / VOLCANOS
Basketball Practice,VOLCANOS,12/15/2012,10:00 AM,Salem Middle School,BOBCATS / VOLCANOS
Basketball Practice,ZIPS,12/15/2012,11:00 AM,Salem Middle School,ZIPS / PYTHONS
